record_id,filing_status,age,state,gross_income,investment_income,business_income,total_deductions,retirement_contributions,dependents,taxable_income,tax_liability,effective_tax_rate,is_anomaly
REC00029,Single,22,NY,24789.72,21.92,29351.62,35124.99,6574.31,1,45175.73,5189.09,0.2093,1
REC00030,MarriedJointly,74,PA,79066.87,0.0,2833.41,21793.06,4216.67,2,51507.22,6384.59,0.0807,0
REC00031,Single,33,NC,64174.3,4551.9,0.0,10874.46,13218.86,2,49251.74,5888.38,0.0918,0
REC00032,Single,65,CA,79581.36,0.0,0.0,7580.84,4351.92,2,63400.52,9001.11,0.1131,0
REC00033,HeadOfHousehold,56,WA,69791.11,715.82,0.0,13148.94,8575.91,1,53057.99,6725.76,0.0964,0
REC00034,HeadOfHousehold,45,FL,89768.8,0.0,0.0,30099.82,12319.65,1,55368.98,7234.18,0.0806,0
REC00035,MarriedSeparately,61,FL,190583.28,0.0,0.0,55356.32,6975.78,1,130926.96,24464.97,0.1284,0
REC00036,Single,66,WA,94323.21,0.0,0.0,10538.24,5063.3,1,79484.97,12539.69,0.1329,0
REC00037,Single,70,NY,25855.42,4455.3,0.0,4327.94,9190.99,1,21682.78,2369.93,0.0917,0
REC00038,MarriedJointly,73,PA,178091.06,0.0,0.0,58474.0,9822.8,2,111017.06,19686.59,0.1105,0
REC00039,Single,31,TX,222457.57,0.0,0.0,19378.22,11506.24,0,203079.35,42671.89,0.1918,0
REC00040,Single,68,CA,745376.98,7103.51,0.0,80000.0,15484.84,1,668180.49,205414.53,0.2756,0
REC00041,MarriedJointly,45,IL,24372.35,0.0,0.0,3135.91,6170.84,0,21236.44,2316.37,0.095,0
REC00042,Single,62,CA,72715.19,0.0,0.0,16090.41,8783.42,1,52324.78,6564.45,0.0903,0
REC00043,HeadOfHousehold,39,PA,11319.94,0.0,0.0,2000.0,2923.04,0,9319.94,931.99,0.0823,0
REC00044,Single,29,OH,93201.52,2720.81,28364.06,6893.3,10665.51,1,113093.09,20184.84,0.2166,0
REC00045,MarriedJointly,67,TX,38616.69,0.0,0.0,9219.91,8734.87,0,29396.78,3295.61,0.0853,0
REC00046,Single,64,FL,278941.3,0.0,0.0,22238.14,7285.24,0,256703.16,60220.86,0.2159,0
REC00047,MarriedJointly,34,PA,32218.88,0.0,0.0,7472.35,5527.76,1,20446.53,2221.58,0.069,0
REC00048,MarriedJointly,37,IL,15500.9,0.0,0.0,3132.77,6606.29,0,12368.13,1252.18,0.0808,0
REC00049,Single,35,TX,41068.18,1384.39,0.0,8135.63,8945.33,0,34316.94,3886.03,0.0946,0
REC00050,HeadOfHousehold,30,FL,12327.77,0.0,0.0,2000.0,4135.32,0,10327.77,1032.78,0.0838,0
REC00051,MarriedJointly,30,NY,109193.8,0.0,0.0,26399.36,6771.52,3,69894.44,10429.78,0.0955,0
REC00052,HeadOfHousehold,72,GA,11475.09,0.0,2202.03,2058.59,8066.71,0,11618.53,1162.22,0.1013,0
REC00053,MarriedSeparately,26,IL,61252.87,0.0,0.0,10617.07,1841.52,2,42035.8,4812.3,0.0786,0
REC00054,MarriedJointly,68,TX,11358.83,0.0,0.0,2600.44,3794.81,2,158.39,15.84,0.0014,0
REC00055,HeadOfHousehold,32,TX,46340.04,0.0,0.0,10745.07,5359.98,0,35594.97,4039.4,0.0872,0
REC00056,Single,40,NY,222949.94,0.0,0.0,12153.0,14272.93,1,206496.94,43765.52,0.1963,0
REC00057,Single,59,WA,79898.98,1111.66,0.0,6996.58,4677.1,4,56814.06,7552.09,0.0945,0
REC00058,Single,31,IL,30007.57,0.0,0.0,3629.58,7776.83,1,22077.99,2417.36,0.0806,0
REC00059,Single,37,WA,58398.02,0.0,0.0,14797.66,3837.75,0,43600.36,5000.04,0.0856,0
REC00060,Single,50,CA,60743.39,0.0,106951.38,13547.13,4894.39,1,149847.64,29005.93,0.4775,0
REC00061,Single,26,CA,87387.22,0.0,0.0,24231.49,2235.97,1,58855.73,8001.26,0.0916,0
REC00062,MarriedSeparately,39,PA,20060.61,1658.7,14427.03,22759.73,10681.21,2,22086.2,2418.34,0.1206,1
REC00063,Single,72,NC,96187.42,0.0,0.0,29429.01,2697.81,3,53858.41,6901.85,0.0718,0
REC00064,Single,63,PA,6880.78,0.0,0.0,2000.0,11628.04,0,4880.78,488.08,0.0709,0
REC00065,MarriedJointly,63,NC,36173.87,8505.91,0.0,5553.38,9871.59,0,39126.4,4463.17,0.1234,0
REC00066,Single,65,IL,40513.11,0.0,0.0,12125.76,7698.39,0,28387.35,3174.48,0.0784,0
REC00067,MarriedSeparately,74,GA,99375.56,0.0,0.0,12052.31,11760.1,4,70123.25,10480.12,0.1055,0
REC00068,Single,56,TX,60968.02,0.0,9404.85,11483.43,20412.81,1,54589.44,7062.68,0.1158,0
REC00069,HeadOfHousehold,57,CA,19448.97,0.0,0.0,2106.28,9910.1,2,8742.69,874.27,0.045,0
REC00070,MarriedJointly,43,IL,27228.12,5285.34,39939.57,8826.06,3519.76,0,63626.97,9050.93,0.3324,0
REC00071,Single,45,IL,70188.8,0.0,39275.39,58496.2,13956.07,2,88767.79,14581.91,0.2078,1
REC00072,Single,33,GA,56204.16,0.0,0.0,6393.0,8744.45,0,49811.16,6011.46,0.107,0
REC00073,MarriedSeparately,60,NC,37673.07,0.0,0.0,9704.73,16444.49,3,15068.34,1576.2,0.0418,0
REC00074,MarriedJointly,33,CA,40754.97,0.0,0.0,5028.89,5975.8,1,31426.08,3539.13,0.0868,0
REC00075,MarriedJointly,56,CA,104499.17,5823.5,27287.63,34803.56,13127.78,2,94206.74,15778.48,0.151,0
REC00076,MarriedJointly,71,NC,39570.77,0.0,252350.62,6342.61,7999.37,0,285578.78,70327.32,1.7773,0
REC00077,Single,40,IL,55799.88,3942.66,0.0,13916.06,18626.91,1,41526.48,4751.18,0.0851,0
REC00078,Single,58,WA,339744.54,0.0,0.0,52175.75,6873.6,0,287568.79,71023.83,0.2091,0
REC00079,Single,35,IL,19169.08,3012.55,0.0,5600.7,20006.67,0,16580.93,1757.71,0.0917,0
REC00080,MarriedSeparately,44,IL,13609.53,0.0,4151.56,18761.65,9759.3,0,13418.6,1378.23,0.1013,1
REC00081,MarriedJointly,61,FL,112069.19,0.0,5933.81,32093.87,11387.86,1,81609.13,13007.01,0.1161,0
REC00082,Single,43,NC,34790.01,9149.39,0.0,10595.29,14801.33,0,33344.11,3769.29,0.1083,0
REC00083,Single,68,OH,46416.49,4461.08,0.0,3739.51,4848.98,0,47138.06,5424.57,0.1169,0
REC00084,Single,69,WA,32050.72,0.0,0.0,10487.62,11876.39,1,17263.1,1839.57,0.0574,0
REC00085,Single,71,IL,48637.98,0.0,0.0,11541.32,6828.99,0,37096.66,4219.6,0.0868,0
REC00086,MarriedJointly,32,TX,215094.01,0.0,3249.47,249366.87,8604.48,0,151499.73,29402.44,0.1367,1
REC00087,MarriedJointly,23,CA,113743.68,2542.82,0.0,148641.26,8332.25,1,82944.21,13300.73,0.1169,1
REC00088,MarriedSeparately,31,OH,119345.61,0.0,0.0,13194.17,10289.64,0,106151.44,18518.85,0.1552,0
REC00089,MarriedJointly,64,IL,19283.76,2695.34,0.0,4490.54,10120.74,0,17488.56,1866.63,0.0968,0
REC00090,Single,26,GA,23838.97,377.73,0.0,2000.0,5699.22,2,13616.7,1402.0,0.0588,0
REC00091,MarriedJointly,51,WA,6177.92,519.97,0.0,2000.0,8499.42,0,4697.89,469.79,0.076,0
REC00092,MarriedJointly,42,OH,31335.14,0.0,5331.68,5411.59,0.0,1,26955.23,3002.63,0.0958,0
REC00093,MarriedJointly,70,PA,128715.85,0.0,0.0,12294.93,11960.69,0,116420.92,20983.52,0.163,0
REC00094,MarriedJointly,54,NC,90540.92,12987.76,0.0,31125.16,14775.77,3,59503.52,8143.77,0.0899,0
REC00095,MarriedJointly,46,CA,50150.78,2355.67,0.0,16064.57,8762.51,0,36441.88,4141.03,0.0826,0
REC00096,MarriedJointly,67,PA,58815.45,7091.16,0.0,18707.03,1575.91,2,38599.58,4399.95,0.0748,0
REC00097,Single,68,FL,34506.11,0.0,0.0,9891.04,10971.79,1,20315.07,2205.81,0.0639,0
REC00098,Single,28,IL,70530.96,6088.43,0.0,18168.38,4944.92,0,58451.01,7912.22,0.1122,0
REC00099,Single,61,GA,110492.47,0.0,0.0,27239.03,8729.27,0,83253.44,13368.76,0.121,0
REC00100,Single,49,GA,16437.01,0.0,0.0,2000.0,10742.04,0,14437.01,1500.44,0.0913,0
REC00101,MarriedJointly,37,GA,76093.5,3776.05,27131.06,24362.85,10185.8,0,82637.76,13233.31,0.1739,0
REC00102,Single,66,WA,126240.98,0.0,0.0,39682.4,12323.42,0,86558.58,14095.89,0.1117,0
REC00103,MarriedJointly,58,FL,42955.49,2271.01,0.0,11785.09,8585.52,3,20541.41,2232.97,0.052,0
REC00104,HeadOfHousehold,24,IL,104878.78,0.0,0.0,34420.64,8693.45,0,70458.14,10553.79,0.1006,0
REC00105,Single,66,NC,569049.98,0.0,34829.01,80000.0,10947.16,0,523878.99,153732.4,0.2702,0
REC00106,Single,40,WA,55079.11,0.0,0.0,10150.68,7714.43,2,36328.43,4127.41,0.0749,0
REC00107,MarriedJointly,33,NC,82014.03,0.0,0.0,27916.28,5248.39,2,45497.75,5227.73,0.0637,0
REC00108,Single,40,WA,33175.08,0.0,0.0,6278.03,9808.07,0,26897.05,2995.65,0.0903,0
REC00109,Single,70,OH,69216.94,4935.92,0.0,16778.0,3484.55,2,48774.86,5783.47,0.0836,0
REC00110,Single,32,NC,86527.48,19417.15,21018.69,106150.38,7676.44,1,108652.91,19119.2,0.221,1
REC00111,Single,24,WA,69973.64,0.0,10271.51,16856.5,2488.89,0,63388.65,8998.5,0.1286,0
REC00112,HeadOfHousehold,23,CA,26482.61,0.0,0.0,7045.16,5780.75,0,19437.45,2100.49,0.0793,0
REC00113,MarriedSeparately,67,WA,70621.47,3544.19,0.0,52883.48,5946.64,0,57400.36,7681.08,0.1088,1
REC00114,MarriedJointly,47,WA,192867.12,3424.31,0.0,39416.04,4063.14,0,156875.39,30692.59,0.1591,0
REC00115,MarriedSeparately,43,WA,85725.76,13326.64,0.0,12004.46,12402.13,0,87047.94,14203.55,0.1657,0
REC00116,MarriedSeparately,74,NY,129261.11,11034.82,19063.95,31430.32,12071.97,0,127929.56,23745.59,0.1837,0
REC00117,Single,38,GA,49532.8,0.0,0.0,15975.75,13256.05,1,29257.05,3278.85,0.0662,0
REC00118,MarriedSeparately,55,WA,109089.09,0.0,0.0,5680.68,7248.62,2,94808.41,15910.85,0.1459,0
REC00119,MarriedJointly,71,TX,74862.94,0.0,477264.16,62532.41,6265.57,1,541076.06,159751.37,2.1339,1
REC00120,MarriedSeparately,36,WA,27980.73,0.0,0.0,2404.44,11214.34,1,21276.29,2321.15,0.083,0
REC00121,MarriedSeparately,33,GA,77251.13,2934.19,0.0,25258.15,8513.65,2,46327.17,5327.26,0.069,0
REC00122,Single,37,OH,27082.49,0.0,0.0,6738.78,8494.07,2,11743.71,1177.25,0.0435,0
REC00123,Single,37,IL,36087.28,8908.25,10105.96,12108.6,0.0,2,34392.89,3895.15,0.1079,0
REC00124,Single,60,GA,69665.65,11318.19,17937.02,15663.9,11026.06,0,83256.96,13369.53,0.1919,0
REC00125,Single,27,PA,75947.34,2677.47,0.0,14317.58,10495.9,0,64307.23,9200.59,0.1211,0
REC00126,MarriedSeparately,67,TX,23123.72,89.32,6990.64,6652.76,7978.33,1,19250.92,2078.11,0.0899,0
REC00127,MarriedSeparately,29,CA,139133.42,0.0,0.0,13674.41,11263.39,0,125459.01,23152.66,0.1664,0
REC00128,Single,73,NY,94618.19,957.49,0.0,15555.37,10406.81,0,80020.31,12657.47,0.1338,0
REC00129,MarriedJointly,46,FL,34071.52,0.0,19384.15,6469.58,5213.26,0,46986.09,5406.33,0.1587,0
REC00130,Single,40,GA,17499.58,0.0,0.0,2441.85,7120.85,3,2157.73,215.77,0.0123,0
REC00131,Single,40,WA,53320.51,2550.02,0.0,8605.17,3968.86,0,47265.36,5451.38,0.1022,0
REC00132,Single,33,TX,41908.55,0.0,0.0,3077.41,13848.96,0,38831.14,4427.74,0.1057,0
REC00133,Single,30,NC,65546.32,530.66,0.0,7170.44,11908.72,0,58906.54,8012.44,0.1222,0
REC00134,HeadOfHousehold,62,WA,44779.54,2755.58,0.0,6745.99,4744.33,2,32189.13,3630.7,0.0811,0
REC00135,Single,50,TX,12016.48,1834.71,0.0,11163.31,10475.5,0,10381.23,1038.12,0.0864,1
REC00136,MarriedJointly,48,GA,43884.76,0.0,0.0,4596.89,9114.37,0,39287.87,4482.54,0.1021,0
REC00137,MarriedJointly,26,IL,46887.42,10175.79,0.0,7220.29,5256.19,3,36942.92,4201.15,0.0896,0
REC00138,Single,47,WA,99402.13,0.0,0.0,6906.07,8497.31,2,83896.06,13510.13,0.1359,0
REC00139,HeadOfHousehold,51,TX,34249.95,423.37,32144.83,7436.74,11433.54,2,50781.41,6224.91,0.1817,0
REC00140,HeadOfHousehold,35,PA,229335.15,0.0,20254.64,53521.15,11759.68,3,183168.64,37002.97,0.1613,0
REC00141,Single,54,PA,12973.8,2050.14,30825.87,4017.4,17327.93,0,41832.41,4787.89,0.369,0
REC00142,MarriedJointly,56,TX,170917.11,0.0,0.0,158571.13,8377.16,2,111770.97,19867.53,0.1162,1
REC00143,Single,32,NC,50038.34,0.0,0.0,6785.87,7048.84,0,43252.47,4958.3,0.0991,0
REC00144,Single,74,IL,119093.94,0.0,0.0,10847.8,10248.56,1,103946.14,17989.57,0.1511,0
REC00145,Single,25,NC,63821.23,0.0,0.0,6179.49,7268.15,0,57641.74,7734.18,0.1212,0
REC00146,MarriedJointly,73,NC,148991.48,1193.64,0.0,50759.79,5660.38,0,99425.33,16926.57,0.1136,0
REC00147,MarriedJointly,54,NY,43919.36,0.0,0.0,11066.26,4296.87,0,32853.1,3710.37,0.0845,0
REC00148,Single,27,OH,24862.2,0.0,8389.53,2000.0,0.0,0,31251.73,3518.21,0.1415,0
REC00149,Single,49,WA,186540.46,0.0,0.0,16981.48,10939.36,1,165258.98,32704.66,0.1753,0
REC00150,HeadOfHousehold,31,OH,54677.93,0.0,0.0,10702.66,1448.11,1,39675.27,4529.03,0.0828,0
REC00151,Single,57,PA,71485.28,0.0,11177.47,8031.27,4480.59,1,70331.48,10525.93,0.1472,0
REC00152,Single,70,OH,160781.49,6069.54,0.0,46803.12,9169.77,0,120047.91,21854.0,0.1359,0
REC00153,MarriedJointly,47,CA,26224.14,0.0,15864.76,5820.84,6713.97,0,36268.06,4120.17,0.1571,0
REC00154,HeadOfHousehold,51,IL,96412.65,0.0,48567.7,22540.28,16597.19,1,118140.07,21396.12,0.2219,0
REC00155,Single,43,NY,37349.85,0.0,0.0,7053.43,1963.04,1,25996.42,2887.57,0.0773,0
REC00156,MarriedJointly,74,WA,53866.53,0.0,0.0,6831.29,16954.88,0,47035.24,5412.23,0.1005,0
REC00157,MarriedJointly,26,TX,63438.31,0.0,0.0,14389.15,13522.34,1,44749.16,5137.9,0.081,0
REC00158,Single,23,FL,18030.54,0.0,0.0,4779.73,11636.39,2,4650.81,465.08,0.0258,0
REC00159,MarriedJointly,54,IL,32110.24,2464.3,0.0,5178.88,13757.25,0,29395.66,3295.48,0.1026,0
REC00160,Single,37,CA,176461.56,0.0,0.0,35554.02,9618.45,0,140907.54,26860.31,0.1522,0
REC00161,MarriedJointly,28,TX,121656.03,0.0,11173.95,36728.59,1186.99,0,96101.39,16195.31,0.1331,0
REC00162,MarriedJointly,42,TX,56947.69,0.0,12018.64,5387.51,10059.41,3,50678.82,6202.34,0.1089,0
REC00163,MarriedJointly,56,GA,72729.24,2576.95,0.0,15532.59,2077.3,0,59773.6,8203.19,0.1128,0
REC00164,Single,67,WA,47316.1,2103.63,0.0,7311.46,5886.55,0,42108.27,4820.99,0.1019,0
REC00165,MarriedSeparately,43,WA,177241.18,0.0,0.0,46231.31,7687.67,2,122409.87,22420.87,0.1265,0
REC00166,Single,72,IL,51006.99,7158.77,0.0,2838.19,4355.75,0,55327.57,7225.07,0.1416,0
REC00167,Single,69,NC,72075.8,0.0,0.0,18101.26,11784.18,1,49674.54,5981.4,0.083,0
REC00168,Single,43,NY,149765.22,0.0,1231.72,12111.41,7144.97,0,138885.53,26375.03,0.1761,0
REC00169,MarriedJointly,27,GA,32147.91,0.0,36286.42,2232.04,9637.23,4,49002.29,5833.5,0.1815,0
REC00170,MarriedJointly,54,NY,208361.82,0.0,0.0,55713.24,7962.35,2,144048.58,27614.16,0.1325,0
REC00171,Single,60,FL,17599.59,0.0,0.0,4260.91,8504.72,1,9038.68,903.87,0.0514,0
REC00172,MarriedJointly,64,GA,220513.39,0.0,0.0,70229.28,4452.53,0,150284.11,29110.69,0.132,0
REC00173,Single,46,NC,44438.41,0.0,0.0,9149.71,3303.83,0,35288.7,4002.64,0.0901,0
REC00174,MarriedJointly,39,OH,49307.97,0.0,0.0,10305.73,7384.93,1,34702.24,3932.27,0.0797,0
REC00175,Single,62,IL,13200.26,0.0,0.0,3459.86,4135.54,0,9740.4,974.04,0.0738,0
REC00176,MarriedJointly,56,OH,41612.85,0.0,0.0,6117.89,13574.22,1,31194.96,3511.4,0.0844,0
REC00177,Single,45,CA,26059.95,36579.54,0.0,2000.0,2494.26,1,56339.49,7447.69,0.2858,0
REC00178,HeadOfHousehold,61,FL,36823.18,0.0,0.0,50497.77,17348.01,2,23840.72,2628.89,0.0714,1
REC00179,Single,61,NC,53645.41,10792.27,0.0,6512.77,9208.1,0,57924.91,7796.48,0.1453,0
REC00180,Single,44,FL,128827.98,5638.67,0.0,19414.07,8277.31,1,110752.58,19623.12,0.1523,0
REC00181,Single,54,TX,70691.65,0.0,10642.39,23543.06,5838.94,2,49190.98,5875.02,0.0831,0
REC00182,HeadOfHousehold,50,TX,76583.84,0.0,19704.59,22320.58,10627.68,1,69667.85,10379.93,0.1355,0
REC00183,MarriedSeparately,31,NC,24923.95,0.0,4040.67,8244.52,7182.9,2,12120.1,1222.41,0.049,0
REC00184,Single,36,GA,29596.07,0.0,2768.15,10346.28,9201.9,0,22017.94,2410.15,0.0814,0
REC00185,MarriedJointly,31,IL,252452.91,0.0,0.0,45475.28,11367.29,2,198377.63,41167.34,0.1631,0
REC00186,MarriedSeparately,47,PA,33250.97,0.0,0.0,3927.67,10677.24,3,16423.3,1738.8,0.0523,0
REC00187,MarriedJointly,61,FL,225250.1,0.0,0.0,49104.8,12959.44,0,176145.3,35317.37,0.1568,0
REC00188,MarriedJointly,74,NY,49293.67,214.77,0.0,15494.99,10151.36,0,34013.45,3849.61,0.0781,0
REC00189,Single,50,NY,59983.83,0.0,16103.8,11380.11,4194.93,0,64707.52,9288.65,0.1549,0
REC00190,Single,55,WA,140968.55,9648.91,14279.44,28422.05,0.0,1,132174.85,24764.46,0.1757,0
REC00191,MarriedSeparately,39,IL,165630.38,0.0,0.0,14961.68,8844.13,1,146368.7,28170.99,0.1701,0
REC00192,HeadOfHousehold,23,TX,54794.77,6736.06,0.0,9651.37,8901.85,0,51879.46,6466.48,0.118,0
REC00193,MarriedJointly,46,PA,43888.41,0.0,0.0,7289.8,15703.72,2,27998.61,3127.83,0.0713,0
REC00194,Single,42,PA,57254.62,0.0,0.0,8903.47,7536.64,2,39751.15,4538.14,0.0793,0
REC00195,Single,72,CA,78461.71,760.28,0.0,24808.78,9497.97,3,41513.21,4749.59,0.0605,0
REC00196,MarriedJointly,52,PA,122154.63,6177.73,0.0,8280.91,11108.71,1,115751.45,20822.85,0.1705,0
REC00197,MarriedSeparately,43,FL,60077.09,0.0,28664.55,20524.99,10053.63,1,63916.65,9114.66,0.1517,0
REC00198,MarriedSeparately,30,FL,98234.13,0.0,0.0,5154.74,11375.78,2,84479.39,13638.47,0.1388,0
REC00199,MarriedJointly,48,NY,222056.64,90.2,0.0,74095.46,4727.16,0,148051.38,28574.83,0.1287,0
REC00200,MarriedJointly,46,GA,81230.63,1218.22,0.0,17417.0,4094.53,1,60731.85,8414.01,0.1036,0
REC00201,Single,46,NY,76827.83,0.0,61469.84,20031.59,6877.76,1,113966.08,20394.36,0.2655,0
REC00202,Single,48,FL,17762.97,0.0,2951.78,2000.0,0.0,0,18714.75,2013.77,0.1134,0
REC00203,MarriedSeparately,31,NY,7298.44,7062.73,0.0,2000.0,7841.68,0,12361.17,1251.34,0.1715,0
REC00204,MarriedJointly,51,OH,81691.12,0.0,6538.68,25698.99,5361.67,0,62530.81,8809.78,0.1078,0
REC00205,Single,25,OH,55500.13,9111.23,0.0,5097.36,9288.85,0,59514.0,8146.08,0.1468,0
REC00206,Single,42,NC,39662.99,0.0,0.0,3495.28,6939.72,1,31867.71,3592.13,0.0906,0
REC00207,MarriedJointly,51,OH,72752.91,5855.42,0.0,10272.23,3938.27,2,59736.1,8194.94,0.1126,0
REC00208,Single,54,WA,57049.64,17772.07,0.0,5620.4,13243.43,0,69201.31,10277.29,0.1801,0
REC00209,Single,64,PA,147594.54,436.95,0.0,12278.94,8330.08,0,135752.55,25623.11,0.1736,0
REC00210,MarriedJointly,47,NY,64144.18,0.0,8885.84,16260.27,11451.44,1,52469.75,6596.34,0.1028,0
REC00211,MarriedJointly,23,OH,32940.61,0.0,16623.32,3760.1,8734.06,0,45803.83,5264.46,0.1598,0
REC00212,MarriedJointly,44,NC,132208.17,0.0,0.0,33065.85,9855.98,0,99142.32,16864.31,0.1276,0
REC00213,Single,52,TX,50326.91,9533.79,0.0,15529.82,2556.02,0,44330.88,5087.71,0.1011,0
REC00214,MarriedJointly,25,OH,91238.24,11835.84,0.0,22408.79,13112.41,0,80665.29,12799.36,0.1403,0
REC00215,Single,68,IL,40866.72,0.0,0.0,3506.78,11514.73,0,37359.94,4251.19,0.104,0
REC00216,Single,41,TX,35601.34,4508.3,0.0,7906.11,7924.64,0,32203.53,3632.42,0.102,0
REC00217,MarriedJointly,46,IL,64044.57,6157.53,0.0,10765.16,9152.01,2,50836.94,6237.13,0.0974,0
REC00218,MarriedJointly,66,NC,60491.79,0.0,0.0,9255.93,12010.42,0,51235.86,6324.89,0.1046,0
REC00219,MarriedSeparately,22,TX,87891.79,0.0,45762.35,12793.48,6512.0,0,120860.66,22049.06,0.2509,0
REC00220,MarriedJointly,23,NY,48295.0,8305.48,0.0,15880.83,1667.68,3,27819.65,3106.36,0.0643,0
REC00221,MarriedJointly,27,WA,13779.15,0.0,0.0,3758.29,6586.94,1,5720.86,572.09,0.0415,0
REC00222,Single,28,CA,42352.42,2994.86,0.0,3818.27,8609.56,0,41529.01,4751.48,0.1122,0
REC00223,Single,72,GA,112990.02,0.0,0.0,21784.66,7870.24,0,91205.36,15118.18,0.1338,0
REC00224,Single,25,NC,47197.64,3558.71,0.0,6865.7,13270.26,1,39590.65,4518.88,0.0957,0
REC00225,Single,39,NY,49162.84,0.0,0.0,16881.61,4160.39,1,27981.23,3125.75,0.0636,0
REC00226,HeadOfHousehold,62,CA,131807.95,0.0,0.0,45264.0,4666.84,0,86543.95,14092.67,0.1069,0
REC00227,Single,74,IL,33874.62,0.0,24009.96,4940.96,3767.81,0,52943.62,6700.6,0.1978,0
REC00228,MarriedSeparately,64,CA,17426.68,0.0,0.0,2712.18,9714.96,3,1814.5,181.45,0.0104,0
REC00229,MarriedJointly,26,NY,52653.87,0.0,0.0,12101.14,1895.86,1,36252.73,4118.33,0.0782,0
REC00230,MarriedJointly,46,PA,40646.21,0.0,0.0,7876.91,10975.03,0,32769.3,3700.32,0.091,0
REC00231,MarriedJointly,22,FL,27639.55,5683.58,14173.89,3148.98,4268.46,0,44348.04,5089.76,0.1841,0
REC00232,MarriedJointly,55,GA,52036.32,4668.74,0.0,12911.44,4907.59,0,43793.62,5023.23,0.0965,0
REC00233,MarriedJointly,24,PA,88716.8,0.0,0.0,13328.69,15080.9,0,75388.11,11638.38,0.1312,0
REC00234,Single,38,WA,59430.87,9863.91,0.0,14626.83,12930.32,3,41767.95,4780.15,0.0804,0
REC00235,MarriedJointly,53,GA,76541.23,0.0,0.0,12637.3,8476.85,0,63903.93,9111.86,0.119,0
REC00236,Single,45,NY,255435.74,652.19,0.0,66429.38,2755.85,4,172458.55,34432.55,0.1348,0
